n,cost_type,parameter_index,n_initializations,mean_gradient,mean_abs_gradient,median_abs_gradient,rms_gradient,std_gradient,empirical_variance,theoretical_variance,variance_ratio,variance_se_sample,variance_z_sample,variance_rel_se_exact,variance_z_exact,standard_error_mean,z_mean,ci95_low,ci95_high,n_exact_zero,min_abs_nonzero,max_abs,all_finite,factorized_second_moment,factorized_ratio
12,global,0,1000000,-9.802021902362253e-07,0.00015375375758990549,1.2439486024770834e-07,0.001539208989163882,0.0015392094466615926,2.3691657206922862e-06,2.5778281269595027e-06,0.9190549578984811,9.596758063270475e-08,-2.174300997185986,0.047459669635523234,-1.7055542679321996,1.5392094466615926e-06,-0.6368218388746223,-3.996997270356772e-06,2.0365928898843215e-06,0,1.6322769177266164e-25,0.14746973671080563,True,2.5891579876723505e-06,1.0043951187413767
12,local,0,1000000,2.8519469801020847e-06,0.026521876852384448,0.029438456281856366,0.029459397803196348,0.029459412394858574,0.0008678569786503469,0.0008680555555555555,0.9997712394051997,6.140109235226713e-07,-0.3234094013658867,0.0007071081954001098,-0.32351568867168523,2.9459412394858575e-05,0.09680936407950291,-5.4887440319533586e-05,6.059133427973776e-05,0,1.1882557258551529e-07,0.04166666666662428,True,,
14,global,0,1000000,-1.924551519907816e-08,3.792819443953307e-05,7.764657654858683e-09,0.0005530220796351447,0.0005530223558115137,3.058337260273165e-07,3.6250708035368007e-07,0.8436627657835808,2.027159297696578e-08,-2.7957030506068477,0.09229775679331807,-1.693835686239964,5.530223558115137e-07,-0.03480060977071531,-1.10314941523514e-06,1.0646583848369837e-06,0,2.2793193516274662e-31,0.08958122480856673,True,3.6355449111013745e-07,1.0028893525484674
14,local,0,1000000,2.2938634901323125e-05,0.02273562328912704,0.025246056044543035,0.0252515524443562,0.02525155465134994,0.0006376410123101129,0.0006377551020408163,0.999821107302257,4.508543048959665e-07,-0.2530523263601143,0.0007071081954001102,-0.25299197337365875,2.525155465134994e-05,0.9084048573657556,-2.6553502768967638e-05,7.243077257161388e-05,0,5.3629787980536284e-08,0.03571428571331201,True,,
16,global,0,1000000,8.168708524598451e-08,1.0104571908973936e-05,4.69929634156747e-10,0.0002523781068117249,0.0002523782197810587,6.369476581985636e-08,5.097755817473626e-08,1.2494667869639657,1.305234699725684e-08,0.9743234414310944,0.17947560777576116,1.3899759976054926,2.523782197810587e-07,0.32366931392435166,-4.129651360072248e-07,5.763393064991937e-07,0,3.768256834907225e-30,0.10632890877861714,True,5.070415252398946e-08,0.9946367448631093
16,local,0,1000000,-1.922132878480691e-05,0.01989201601381517,0.02209589462084119,0.022092684946680503,0.02209268763144606,0.0004880868467806497,0.00048828125,0.9996018622067706,3.451533754897475e-07,-0.5632371958537126,0.0007071081954001098,-0.5630507407768193,2.2092687631446058e-05,-0.8700312567425186,-6.25222008641347e-05,2.4079543294520877e-05,0,9.421876724992629e-09,0.031249999999904167,True,,
18,global,0,1000000,1.6411114994622013e-07,2.329305958352161e-06,3.0364388339000844e-11,7.511999290791491e-05,7.511985120464294e-05,5.642992045007696e-09,7.1687191183222865e-09,0.7871688026644765,1.4330977391369433e-09,-1.0646357409184328,0.3489843326926319,-0.6098588887741693,7.511985120464294e-08,2.1846575480979773,1.6878947061112178e-08,3.1134335283132807e-07,0,5.736981449446053e-35,0.036562268924462016,True,7.178940757689755e-09,1.0014258669085447
18,local,0,1000000,-3.5023713316291155e-06,0.01768831296015699,0.019655246020992317,0.019647369479493214,0.019647378991016023,0.0003860195012166178,0.00038580246913580245,1.0005625471534734,2.72908293801932e-07,0.79525644967332,0.0007071081954001101,0.7955602227959723,1.9647378991016023e-05,-0.1782615041543512,-4.201052654462943e-05,3.50057838813712e-05,0,2.2850593322157725e-08,0.02777777777760791,True,,
20,global,0,1000000,-1.56548828542551e-08,5.784313696193379e-07,1.871513121787774e-12,2.3585386814092545e-05,2.3585393411300046e-05,5.562707823657956e-10,1.0081011260140715e-09,0.5518005763620494,9.163578239633434e-11,-4.9307195489864695,0.6785826959251421,-0.6604934466047655,2.3585393411300047e-08,-0.6637533061778251,-6.188140450161148e-08,3.0571638793101275e-08,0,1.7662206212434286e-38,0.006956452521433835,True,1.0080707473850762e-09,0.9999698654944316
20,local,0,1000000,1.0344070050361068e-05,0.015913145782872305,0.017674777485701662,0.01767632982495063,0.017676335636480075,0.0003124528415334955,0.0003125,0.9998490929071856,2.2099107228826145e-07,-0.21339534677210883,0.0007071081954001097,-0.21341443048756004,1.7676335636480073e-05,0.5851931227767129,-2.4300911175781766e-05,4.49890512765039e-05,0,5.652546570110225e-08,0.024999999999987914,True,,
22,global,0,1000000,-1.953750551196928e-08,1.5784623958246492e-07,1.1856936616081912e-13,1.2636447689489903e-05,1.2636438904006195e-05,1.5967958817468127e-10,1.417642208457288e-10,1.1263743927915943,9.207058151507803e-11,0.19458297139155714,1.3194674069689198,0.09577682034746245,1.2636438904006195e-08,-1.5461243203395858,-4.4304470656662215e-08,5.2294596327236564e-09,0,4.952205696714752e-37,0.00953017481928254,True,1.4256379988767675e-10,1.0056402034108314
22,local,0,1000000,-2.394047152394483e-05,0.01447726693552747,0.01608676372675153,0.016076517997493128,0.01607650821016989,0.00025845411623165996,0.00025826446280991736,1.0007343380489873,1.825573701297331e-07,1.038870255458992,0.0007071081954001098,1.0385087512268787,1.607650821016989e-05,-1.4891586662332712,-5.54498486130403e-05,7.56890556515064e-06,0,4.748447953620587e-09,0.022727272727265636,True,,
