benchmark,n,shots,seed,iters,eta,frac_zero_steps,frac_nonzero_descent,frac_nonzero_ascent_or_orthogonal,mean_cos_nonzero,cost_start,cost_end,cost_change
parity,10,64,2,300,0.3,0.0,0.49666666666666665,0.5033333333333333,0.006319188560833732,0.4995751211560873,0.4999027039641984,0.000327582808111071
parity,10,64,3,300,0.3,0.0,0.48333333333333334,0.5166666666666667,-0.005956052343204133,0.49988944843943833,0.5000963444913373,0.00020689605189899707
parity,10,64,4,300,0.3,0.0,0.5733333333333334,0.4266666666666667,0.07482083397306151,0.5187032618570874,0.4921075249282909,-0.026595736928796465
parity,10,64,5,300,0.3,0.0,0.55,0.45,0.05464112614218274,0.49988112191014183,0.4931740748379368,-0.006707047072205041
parity,10,64,6,300,0.3,0.0,0.49666666666666665,0.5033333333333333,0.019541361190390655,0.5001291357344023,0.49845487629820356,-0.001674259436198755
parity,10,64,7,300,0.3,0.0,0.83,0.17,0.31469689076934876,0.4977602070971119,0.0028520074662053974,-0.4949081996309065
parity,10,64,8,300,0.3,0.0,0.4866666666666667,0.5133333333333333,-0.008215875306950051,0.5000314720174136,0.500000722001493,-3.0750015920566476e-05
parity,10,64,9,300,0.3,0.0,0.81,0.19,0.32432680888055104,0.4867522212286356,0.0029323356752775642,-0.48381988555335803
parity,10,64,10,300,0.3,0.0,0.8333333333333334,0.16666666666666666,0.3267583648735367,0.44546070990945064,0.0018367175913441836,-0.44362399231810645
parity,10,64,11,300,0.3,0.0,0.5133333333333333,0.4866666666666667,0.022115741437636255,0.4999196211387244,0.4999126507679375,-6.970370786896218e-06
parity,10,64,12,300,0.3,0.0,0.5333333333333333,0.4666666666666667,0.014699656121943242,0.5017410390578284,0.5000115796697423,-0.0017294593880861076
parity,10,64,13,300,0.3,0.0,0.8633333333333333,0.13666666666666666,0.33963576568004006,0.4958382221476218,0.0014489318572027399,-0.49438929029041906
parity,10,64,14,300,0.3,0.0,0.6333333333333333,0.36666666666666664,0.15360573228248806,0.4997666376742627,0.08791264373304941,-0.4118539939412133
parity,10,64,15,300,0.3,0.0,0.8233333333333334,0.17666666666666667,0.3321473701705769,0.573394586626651,0.0020710934931810754,-0.5713234931334699
parity,10,64,16,300,0.3,0.0,0.72,0.28,0.2106370880827447,0.5063881925852409,0.0013628206380131846,-0.5050253719472277
parity,10,64,17,300,0.3,0.0,0.78,0.22,0.2880676501026353,0.4990878046410645,0.003270625986013409,-0.4958171786550511
parity,10,64,18,300,0.3,0.0,0.8433333333333334,0.15666666666666668,0.377752280919197,0.6569591561319879,0.0008764263340356182,-0.6560827297979522
parity,10,64,19,300,0.3,0.0,0.84,0.16,0.3310631589788078,0.5014352141863356,0.002060220523224243,-0.4993749936631114
parity,10,1024,0,300,0.3,0.0,0.69,0.31,0.21212992099786046,0.49995931603831373,0.452828033726402,-0.047131282311911715
