benchmark,n,shots,n_samples,frac_p_zero_ge,frac_p_correct_le,frac_both,frac_resolved,median_p_zero,median_p_correct,p_zero_level,p_correct_level
projector,12,16384,20000,0.678,0.85095,0.678,0.14905,0.991772851394077,0.006614318622672517,0.9,0.6
projector,14,16,20000,0.996,0.99995,0.996,5e-05,0.9999995116745322,3.822300891354047e-07,0.9,0.6
projector,14,64,20000,0.98805,0.9989,0.98805,0.0011,0.9999980466996866,1.5289187814127025e-06,0.9,0.6
projector,14,256,20000,0.9704,0.9958,0.9704,0.0042,0.9999921868236801,6.115649927085354e-06,0.9,0.6
projector,14,1024,20000,0.93785,0.98725,0.93785,0.01275,0.9999687476936538,2.4462196538233005e-05,0.9,0.6
projector,14,4096,20000,0.892,0.96965,0.892,0.03035,0.9998749971572615,9.784233590443003e-05,0.9,0.6
projector,14,16384,20000,0.82825,0.93665,0.82825,0.06335,0.9995001016700003,0.0003912731018650417,0.9,0.6
projector,16,16,20000,0.9995,1.0,0.9995,0.0,0.9999999722324935,2.2051201808981347e-08,0.9,0.6
projector,16,64,20000,0.99695,0.9999,0.99695,0.0001,0.9999998889299796,8.820480207338832e-08,0.9,0.6
projector,16,256,20000,0.9901,0.99925,0.9901,0.00075,0.9999995557200063,3.528191251933599e-07,0.9,0.6
projector,16,1024,20000,0.9757,0.9971,0.9757,0.0029,0.9999982228814313,1.4112751705597226e-06,0.9,0.6
projector,16,4096,20000,0.9503,0.98915,0.9503,0.01085,0.9999928915482246,5.645079400096176e-06,0.9,0.6
projector,16,16384,20000,0.91475,0.97555,0.91475,0.02445,0.9999715665528849,2.2579977096093273e-05,0.9,0.6
