bin_low,bin_high,log10_abs_g_mid,benchmark,shots,n_in_bin,n_used,mean_p_zero,median_p_zero,mean_p_correct,median_p_correct,mean_p_wrong,mean_estimator_sd,mean_abs_g,mean_p_pos,mean_p_neg
-7.5,-7.0,-7.25,projector,16384,6486,4000,0.9906655604054693,0.9969717168942012,0.005643180562858675,0.0026585028239898114,0.003691259031672155,2.5124847333364123e-06,5.990928894827562e-08,8.67316087402655e-06,8.674067867081137e-06
-7.0,-6.5,-6.75,parity,64,2564,2564,0.07038609216923891,0.07038609216935168,0.4648087338922898,0.46480868337673864,0.4648051739384713,0.04419417382415541,1.9756842830320034e-07,0.4999999995553471,0.5000000004446529
-7.0,-6.5,-6.75,parity,1024,2564,2564,0.017628772401763377,0.017628772402214922,0.4911927467551782,0.49119254432267706,0.4911784808430584,0.011048543456038852,1.9756842830320034e-07,0.4999999995553471,0.5000000004446529
-7.0,-6.5,-6.75,parity,16384,2564,2564,0.0044076974808449215,0.004407697482643471,0.497824686354271,0.4978238765318323,0.4977676161648841,0.002762135864009713,1.9756842830320034e-07,0.4999999995553471,0.5000000004446529
-7.0,-6.5,-6.75,projector,64,6911,4000,0.9998280314017435,0.9999625855979031,9.810877469103612e-05,3.2483970406793984e-05,7.385982356550267e-05,6.455600645134235e-05,1.8946165533313615e-07,1.3844799109039337e-06,1.3606852961036633e-06
-7.0,-6.5,-6.75,projector,1024,6911,4000,0.9977396671270764,0.9994015812550134,0.0013239313902090677,0.0005196051706157946,0.000936401482714607,1.6139001612835586e-05,1.8946165533313615e-07,1.3844799109039337e-06,1.3606852961036633e-06
-7.0,-6.5,-6.75,projector,16384,6911,4000,0.9758727933975745,0.9904733410950884,0.015123890533835229,0.008263315124755425,0.009003316068590202,4.034750403208897e-06,1.8946165533313615e-07,1.3844799109039337e-06,1.3606852961036633e-06
-6.5,-6.0,-6.25,parity,64,3811,3811,0.07038609216244626,0.07038609216370383,0.46481251250685407,0.4648122858671919,0.4648013953306997,0.0441941738241221,6.169751440192798e-07,0.4999999953457772,0.5000000046542228
-6.5,-6.0,-6.25,parity,1024,3811,3811,0.017628772374543432,0.017628772379583164,0.49120788891385914,0.49120698069449215,0.4911633387115974,0.011048543456030525,6.169751440192798e-07,0.4999999953457772,0.5000000046542228
-6.5,-6.0,-6.25,parity,16384,3811,3811,0.004407697371951458,0.004407697392138284,0.49788526192004645,0.49788162862468544,0.49770704070800215,0.0027621358640076313,6.169751440192798e-07,0.4999999953457772,0.5000000046542228
-6.5,-6.0,-6.25,projector,64,7376,4000,0.9994789407373922,0.9998816807274491,0.00029877988805079305,0.00010222189379212277,0.0002222793745569807,0.00011532524586679727,5.978386183881357e-07,4.249162282964617e-06,4.231825035757829e-06
-6.5,-6.0,-6.25,projector,1024,7376,4000,0.9936424031187024,0.9981086718613401,0.003788662663484396,0.0016339785992613932,0.002568934217813216,2.8831311466699317e-05,5.978386183881357e-07,4.249162282964617e-06,4.231825035757829e-06
-6.5,-6.0,-6.25,projector,16384,7376,4000,0.9381639438666686,0.9702089920901819,0.04034724206906149,0.025715475494282335,0.021488814064269966,7.207827866674829e-06,5.978386183881357e-07,4.249162282964617e-06,4.231825035757829e-06
-6.0,-5.5,-5.75,parity,64,5474,4000,0.07038609209491012,0.07038609210628784,0.46482447773680746,0.4648238970812951,0.46478943016828245,0.0441941738237908,1.9450513643316265e-06,0.5000000108235321,0.49999998917646793
