n_qubits,method,n_iters,F0,C0,gnorm0,F_final,C_final,gnorm_final,F_best,C_best,iter_best,gnorm_max,log10_gain_best,log10_gain_final,eligible_F0.01,hit_F0.01,circuit_evals_to_F0.01,shots_to_F0.01,oracle_calls_to_F0.01,eligible_F0.1,hit_F0.1,circuit_evals_to_F0.1,shots_to_F0.1,oracle_calls_to_F0.1,eligible_F0.5,hit_F0.5,circuit_evals_to_F0.5,shots_to_F0.5,oracle_calls_to_F0.5,possible_10xF0,hit_10xF0,possible_100xF0,hit_100xF0,n,start_seed,replicate,config_id,eta,shots,sigma_step,total_circuit_evaluations,total_shots,total_oracle_calls,seed_set
6,exact_gd,2000,0.05932405659005947,0.9406759434099405,0.13827741676079888,0.9999994834274385,5.165725615041694e-07,0.0007187295776493935,0.9999994834274385,5.165725615041694e-07,2000,0.4492255698071856,1.2267689351458788,1.2267689351458788,False,,,,,True,150.0,0.0,0.0,150.0,True,526.0,0.0,0.0,526.0,True,573.0,False,,6,23,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.00010923444996693445,0.9998907655500331,0.0019193718100925566,0.00021861648989575,0.9997813835101043,0.00280213175595296,0.00021861648989575,0.9997813835101043,2000,0.00280213175595296,0.3013232907955819,0.3013232907955819,True,,,,,True,,,,,True,,,,,True,,True,,6,24,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.31460424372035306,0.6853957562796469,0.40861930945676816,0.9999999936725297,6.327470325473428e-09,7.954539770656276e-05,0.9999999936725297,6.327470325473428e-09,2000,0.4636818548469575,0.502235420694239,0.502235420694239,False,,,,,False,,,,,True,96.0,0.0,0.0,96.0,False,,False,,6,25,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0045368049658718115,0.9954631950341282,0.020791648925484053,0.21905686759558646,0.7809431324044136,0.3075892581221512,0.21905686759558646,0.7809431324044136,2000,0.3075892581221512,1.683806763536427,1.683806763536427,True,709.0,0.0,0.0,709.0,True,1801.0,0.0,0.0,1801.0,True,,,,,True,1539.0,True,,6,26,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0005710181885367438,0.9994289818114632,0.0026686877235836,0.0007491656344779349,0.9992508343655221,0.0033321793004450154,0.0007491656344779349,0.9992508343655221,2000,0.0033321793004450154,0.11792790535387404,0.11792790535387404,True,,,,,True,,,,,True,,,,,True,,True,,6,27,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0013041612870592384,0.9986958387129408,0.005903455199988769,0.002459278378555734,0.9975407216214442,0.009691853888229015,0.002459278378555734,0.9975407216214442,2000,0.009691853888229015,0.27547638718737716,0.27547638718737716,True,,,,,True,,,,,True,,,,,True,,True,,6,28,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0013041005254764398,0.9986958994745235,0.005346690426531158,0.0021864507212109364,0.9978135492787891,0.008200978353671897,0.0021864507212109364,0.9978135492787891,2000,0.008200978353671897,0.2244286236444979,0.2244286236444979,True,,,,,True,,,,,True,,,,,True,,True,,6,29,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0007267712346123987,0.9992732287653876,0.0029424681114816474,0.0009433533086727266,0.9990566466913273,0.003675237503679533,0.0009433533086727266,0.9990566466913273,2000,0.003675237503679533,0.11327664728004663,0.11327664728004663,True,,,,,True,,,,,True,,,,,True,,True,,6,30,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0001401198609127378,0.9998598801390872,0.004574294579584864,0.0029627535449394085,0.9970372464550606,0.021853604199108055,0.0029627535449394085,0.9970372464550606,2000,0.021853604199108055,1.325195828877716,1.325195828877716,True,,,,,True,,,,,True,,,,,True,1525.0,True,,6,31,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,6.6416173051235064e-12,0.9999999999933584,1.622725197161765e-09,6.641669969766251e-12,0.9999999999933583,1.622731694104566e-09,6.641669969766251e-12,0.9999999999933583,2000,1.622731694104566e-09,3.443720407762453e-06,3.443720407762453e-06,True,,,,,True,,,,,True,,,,,True,,True,,6,32,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0005332975909854534,0.9994667024090146,0.003493267696660364,0.0008882923184876029,0.9991117076815124,0.0050492823470528045,0.0008882923184876029,0.9991117076815124,2000,0.0050492823470528045,0.22158628467133093,0.22158628467133093,True,,,,,True,,,,,True,,,,,True,,True,,6,33,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0014618748773991602,0.9985381251226009,0.005723096773750198,0.002485372334390068,0.9975146276656099,0.008885233430496775,0.002485372334390068,0.9975146276656099,2000,0.008885233430496775,0.23048125700163746,0.23048125700163746,True,,,,,True,,,,,True,,,,,True,,True,,6,34,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,0.0007611057548045038,0.9992388942451955,0.005083167537542188,0.0017187858960542076,0.9982812141039458,0.009240672949822368,0.0017187858960542076,0.9982812141039458,2000,0.009240672949822368,0.35377677560763165,0.35377677560763165,True,,,,,True,,,,,True,,,,,True,,True,,6,35,0,26374,0.01,,,0,0,2000,tuning
6,exact_gd,2000,5.343995108365047e-05,0.9999465600489164,0.0007715671765022071,6.728344168872935e-05,0.9999327165583113,0.0008958120310944884,6.728344168872935e-05,0.9999327165583113,2000,0.0008958120310944884,0.10004214649340712,0.10004214649340712,True,,,,,True,,,,,True,,,,,True,,True,,6,36,0,26374,0.01,,,0,0,2000,tuning
