n,method,eta,shots,sigma_step,primary,role,n_runs,n_start_seeds,median_log10_gain_best,iqr_low_gain_best,iqr_high_gain_best,mean_log10_gain_best,median_log10_gain_final,iqr_low_gain_final,iqr_high_gain_final,median_F0,median_F_best,median_F_final,n_eligible_F0.01,p_hit_F0.01,p_hit_F0.01_ci_low,p_hit_F0.01_ci_high,median_iter_to_F0.01,median_shots_to_F0.01,min_shots_to_F0.01,max_shots_to_F0.01,median_circuit_evals_to_F0.01,min_circuit_evals_to_F0.01,max_circuit_evals_to_F0.01,n_eligible_F0.1,p_hit_F0.1,p_hit_F0.1_ci_low,p_hit_F0.1_ci_high,median_iter_to_F0.1,median_shots_to_F0.1,min_shots_to_F0.1,max_shots_to_F0.1,median_circuit_evals_to_F0.1,min_circuit_evals_to_F0.1,max_circuit_evals_to_F0.1,n_eligible_F0.5,p_hit_F0.5,p_hit_F0.5_ci_low,p_hit_F0.5_ci_high,median_iter_to_F0.5,median_shots_to_F0.5,min_shots_to_F0.5,max_shots_to_F0.5,median_circuit_evals_to_F0.5,min_circuit_evals_to_F0.5,max_circuit_evals_to_F0.5,p_10xF0,p_10xF0_ci_low,p_10xF0_ci_high,median_iter_to_10xF0,p_100xF0,p_100xF0_ci_low,p_100xF0_ci_high,median_iter_to_100xF0
6,noise_only,0.3,256.0,,False,shot_budget_sweep,500,100,0.09499561221029615,0.04151686871597775,0.20240219922746616,0.15249900207863573,0.00472480124456455,-0.10417847677491585,0.08854671230653588,0.00033225035065695,0.0005297971926944501,0.00022053407956345,410,0.07317073170731707,0.05173190690396796,0.10253359129580239,689.0,0.0,0.0,0.0,0.0,0.0,0.0,485,0.012371134020618556,0.005681799950550969,0.026724327915344164,965.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,4.336808689942018e-19,0.007624340461552241,,,,,,,,0.002061855670103093,0.00036406092317974644,0.011585536876455246,1183.0,0.0,0.0,0.009282440748302413,
6,noise_only,0.3,1024.0,,False,shot_budget_sweep,500,100,0.04896258907095295,0.019858848217870047,0.10206740608940305,0.08395485248487623,0.0004551806848383,-0.049313881835588595,0.046026630192825574,0.00033225035065695,0.0004713324886275,0.00026418292739955,410,0.026829268292682926,0.015045825737746796,0.0473970694094272,615.0,0.0,0.0,0.0,0.0,0.0,0.0,485,0.0,0.0,0.00785829178638296,,,,,,,,500,0.0,4.336808689942018e-19,0.007624340461552241,,,,,,,,0.002061855670103093,0.00036406092317974644,0.011585536876455246,1694.0,0.0,0.0,0.009282440748302413,
6,shot_sgd,0.3,16.0,,False,shot_budget_sweep,500,100,2.2624675809104104,1.1420748477961709,3.510934623032499,2.3155662368719754,2.259473641961888,1.1411498369674697,3.5096943491615473,0.00033225035065695,0.9997633027190072,0.9955041933963166,410,0.7073170731707317,0.6615138451403076,0.749271484305518,196.5,37728.0,192.0,379392.0,2358.0,12.0,23712.0,485,0.7484536082474227,0.7079875680895902,0.7850148065072793,133.0,25536.0,576.0,376512.0,1596.0,36.0,23532.0,500,0.756,0.7164951931439073,0.791601144539778,137.5,26400.0,768.0,379392.0,1650.0,48.0,23712.0,0.7896907216494845,0.7512164322720105,0.8236120625898995,108.0,0.7146341463414634,0.6690877387820927,0.7561958964088799,246.0
6,shot_sgd,0.3,64.0,,True,primary,500,100,2.2625529497086365,1.1748726259464644,3.5109524318815004,2.3146734660146158,2.262223326835771,1.1745551048113907,3.5105587432509773,0.00033225035065695,0.9999430275664154,0.9989308378231758,410,0.7073170731707317,0.6615138451403076,0.749271484305518,198.5,152448.0,768.0,1532160.0,2382.0,12.0,23940.0,485,0.7484536082474227,0.7079875680895902,0.7850148065072793,142.0,109056.0,2304.0,1531392.0,1704.0,36.0,23928.0,500,0.754,0.7144078267312022,0.7897190083143293,144.0,110592.0,3072.0,1527552.0,1728.0,48.0,23868.0,0.8041237113402062,0.7664710697567605,0.8369965671979138,110.0,0.7170731707317073,0.6716154279148907,0.7585009758577974,247.0
6,shot_sgd,0.3,256.0,,False,shot_budget_sweep,500,100,2.2552807909275705,1.1748768629478468,3.510977164316423,2.289280060310358,2.255227308556365,1.1748111034022068,3.5108660595413674,0.00033225035065695,0.9999865014689322,0.9997218057811246,410,0.7048780487804878,0.6589922342167814,0.7469603266473287,205.0,629760.0,6144.0,6100992.0,2460.0,24.0,23832.0,485,0.7484536082474227,0.7079875680895902,0.7850148065072793,137.0,420864.0,9216.0,6113280.0,1644.0,36.0,23880.0,500,0.754,0.7144078267312022,0.7897190083143293,147.0,451584.0,12288.0,6137856.0,1764.0,48.0,23976.0,0.7958762886597938,0.7577455887483279,0.8293568241533381,103.5,0.7097560975609756,0.6640369588181071,0.7515811392094344,252.0
6,shot_sgd,0.3,1024.0,,False,shot_budget_sweep,500,100,2.26256658565321,1.1421451741654933,3.5109806496307923,2.301501903686737,2.262555242149203,1.1421340148941785,3.510965514705106,0.00033225035065695,0.9999965733208664,0.999933928712851,410,0.7073170731707317,0.6615138451403076,0.749271484305518,197.0,2420736.0,24576.0,24342528.0,2364.0,24.0,23772.0,485,0.7505154639175258,0.7101374955050302,0.7869561851050911,138.0,1695744.0,36864.0,24526848.0,1656.0,36.0,23952.0,500,0.756,0.7164951931439073,0.791601144539778,149.0,1830912.0,49152.0,24145920.0,1788.0,48.0,23580.0,0.7938144329896907,0.7555678053671013,0.8274433015213127,102.0,0.7195121951219512,0.6741446655100084,0.7608045068443955,257.0
8,constant_langevin,0.0,,0.1,False,control_pure_diffusion,500,100,2.9331196476162336,1.6842504176448054,4.748334513414405,3.5667984314120176,-0.3163279201400906,-2.2806348464086743,1.6769698565090887,8.660623901650478e-05,0.06679752699354,2.4709206416255924e-05,460,0.9217391304347826,0.8935558952900805,0.9429368170829807,427.0,0.0,0.0,0.0,0.0,0.0,0.0,490,0.34285714285714286,0.3021976636327086,0.3859613654456602,844.5,0.0,0.0,0.0,0.0,0.0,0.0,500,0.01,0.004278753896590496,0.023193099755730702,1476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9040816326530612,0.8747766625704084,0.9271001197995002,30.0,0.7239130434782609,0.6813318479111645,0.7627854169054609,102.0
8,constant_langevin,0.3,,0.1,True,primary,500,100,3.77566042733444,2.7787507645821123,5.909275609464219,4.536057527886874,3.6502383582578406,2.4595195232176126,5.525969119170554,8.660623901650478e-05,0.9926642778282102,0.9240149641162174,460,0.941304347826087,0.915948547318111,0.959350528000092,390.0,0.0,0.0,0.0,0.0,0.0,0.0,490,0.8653061224489796,0.8322205501016664,0.8927084602226452,514.5,0.0,0.0,0.0,0.0,0.0,0.0,500,0.864,0.8311649235512272,0.8912845565927628,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857142857142858,0.9708089484936632,0.9930631434459242,40.0,0.95,0.9260920828254774,0.9664542649127889,133.0
8,exact_gd,0.3,,,False,control_exact_gd_matched_eta,100,100,1.573542855910779,0.1457424130431089,3.102073546121139,1.6462663439458494,1.573542855910779,0.1457424130431089,3.102073546121139,8.660623901650478e-05,1.0,1.0,92,0.4782608695652174,0.3791213822510938,0.5791430259787157,245.5,0.0,0.0,0.0,0.0,0.0,0.0,98,0.5102040816326531,0.41273047100283283,0.6069078965457043,254.5,0.0,0.0,0.0,0.0,0.0,0.0,100,0.52,0.4231657776522397,0.615354482419481,264.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5612244897959183,0.4625100210917256,0.6553201841994971,206.0,0.4782608695652174,0.3791213822510938,0.5791430259787157,282.0
8,exact_gd,1.0,,,True,primary,100,100,2.773159245078676,0.5648832649772497,3.7057381487089316,2.393422103400473,2.773159245078676,0.5648832649772497,3.7057381487089316,8.660623901650478e-05,1.0,1.0,92,0.6630434782608695,0.5616529840684809,0.7513639542079468,113.0,0.0,0.0,0.0,0.0,0.0,0.0,98,0.673469387755102,0.5756148110653156,0.7582374372598155,114.5,0.0,0.0,0.0,0.0,0.0,0.0,100,0.68,0.5833738138954762,0.7633085267500092,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7040816326530612,0.6073991576853616,0.785368193285381,92.0,0.6630434782608695,0.5616529840684809,0.7513639542079468,126.0
