n,theta_seed,theta_scale,F_theta,shots,k,reps,g_exact,mean_pennylane,mean_binomial,z_mean_pl_vs_binomial,z_mean_pl_vs_exact,z_mean_binomial_vs_exact,var_pennylane,var_binomial,var_theory,var_ratio_pl_over_binomial,var_ratio_pl_over_theory,var_ratio_binomial_over_theory,approx_sd_of_var_ratio,degenerate_all_zero
3,12,0.4,0.5022522877182266,256,2,400,0.36329073774003023,0.3630224609375,0.3639111328125,-0.9005987082926461,-0.3881564694055738,0.8809090454023588,0.00019107883137867856,0.00019839674010312645,0.00020354880212583782,0.9631147733544209,0.9387371941425129,0.9746888118775258,0.10012523486435178,False
3,12,0.4,0.5022522877182266,1024,0,400,0.2635073355694393,0.263426513671875,0.26402587890625,-0.9757734536886635,-0.19581711478940877,1.1398820863122594,6.81422990665101e-05,8.277710816615207e-05,7.238971618006407e-05,0.8232022182960698,0.9413256835682456,1.1434926469424211,0.10012523486435178,False
3,12,0.4,0.5022522877182266,1024,2,400,0.36329073774003023,0.36310302734375,0.36368408203125,-1.1155662506737418,-0.5070367902229663,1.073573570235653,5.482235647980731e-05,5.3696016918746435e-05,5.0887200531459455e-05,1.0209762218073877,1.077330957632756,1.0551969131324195,0.10012523486435178,False
4,11,1.0,0.0034124373930072534,64,0,400,0.006655974175654805,0.00658203125,0.00689453125,-0.5817427561965461,-0.2047370812543703,0.5999192149170639,5.217473309739191e-05,6.324978400591323e-05,6.317165341656175e-05,0.824899782938612,0.8259200175329466,1.0012367982334778,0.10012523486435178,False
4,11,1.0,0.0034124373930072534,64,3,400,0.0005097166421368895,0.000234375,0.0005078125,-1.0309428519094717,-1.4105271565439141,-0.01060440320199705,1.5241962327694233e-05,1.2896927377036341e-05,1.3601442193662443e-05,1.1818289645356421,1.1206136901273738,0.9482029327041239,0.10012523486435178,False
4,11,1.0,0.0034124373930072534,256,0,400,0.006655974175654805,0.0063330078125,0.0066943359375,-1.321594406408775,-1.5921831450823019,0.20927055206765202,1.6458434867380855e-05,1.3441286588969984e-05,1.5792913354140438e-05,1.224468711268069,1.0421405157057952,0.8510960762946295,0.10012523486435178,False
4,11,1.0,0.0034124373930072534,256,3,400,0.0005097166421368895,0.0006982421875,0.0005517578125,1.143177221935815,2.129613556612097,0.4538027315633096,3.1347203075437624e-06,3.4330124245550397e-06,3.400360548415611e-06,0.9131106794494227,0.9218788016477774,1.0096024747007029,0.10012523486435178,False
4,11,1.0,0.0034124373930072534,1024,0,400,0.006655974175654805,0.00664306640625,0.00671142578125,-0.47371772491164355,-0.1327634191270438,0.5200096665556266,3.780990017386606e-06,4.548470776780208e-06,3.9482283385351095e-06,0.8312661997716759,0.9576421861126317,1.1520282989680892,0.10012523486435178,False
4,11,1.0,0.0034124373930072534,1024,3,400,0.0005097166421368895,0.000452880859375,0.000567626953125,-1.7833631663444842,-1.244187894172435,1.2780263116242894,8.347025491241226e-07,8.21281794019809e-07,8.500901371039027e-07,1.0163412305033879,0.981898874827318,0.966111425333979,0.10012523486435178,False
4,11,0.4,0.5398629562460578,64,0,400,0.2533791708308224,0.25341796875,0.2540234375,-0.2451660336642817,0.021505963472952038,0.3820028627596448,0.0013018443172139332,0.0011377794461740287,0.0012241553634556007,1.1441974291165127,1.063463311992547,0.9294403963253928,0.10012523486435178,False
