n,label,log10A,s,target,M_exact,M_rare_event_approx,ratio_approx_over_exact,abs_log10_err
6,upper-quartile A,-1.7589298195562186,-0.34467440409196937,P_nonzero>=0.9,417.0,132.17384020373618,0.31696364557250883,0.49899054671807547
6,upper-quartile A,-1.7589298195562186,-0.34467440409196937,P_nonzero>=0.95,768.0,171.96213074715854,0.22390902441036267,0.6499284023001958
6,upper-quartile A,-1.7589298195562186,-0.34467440409196937,P_nonzero>=0.99,1848.0,264.3476804074723,0.14304528160577507,0.8445264629644247
6,upper-quartile A,-1.7589298195562186,-0.34467440409196937,SNR>=0.5,120.0,,,
6,upper-quartile A,-1.7589298195562186,-0.34467440409196937,SNR>=1.0,479.0,,,
6,upper-quartile A,-1.7589298195562186,-0.34467440409196937,SNR>=2.0,1914.0,,,
6,upper-quartile A,-1.7589298195562186,-0.34467440409196937,SNR>=5.0,11962.0,,,
8,lower-quartile A,-5.526540294842795,-0.8486590245414765,P_nonzero>=0.5,245423.0,233005.2764860439,0.9494027718919739,0.022549504642483564
8,lower-quartile A,-5.526540294842795,-0.8486590245414765,P_nonzero>=0.9,936401.0,774026.7742159871,0.8265975519205843,0.08270588527371045
8,lower-quartile A,-5.526540294842795,-0.8486590245414765,P_nonzero>=0.95,1291653.0,1007032.0507020305,0.7796459658298557,0.1081025639646559
8,lower-quartile A,-5.526540294842795,-0.8486590245414765,P_nonzero>=0.99,2216287.0,1548053.548431974,0.698489657897183,0.1558400198310249
8,lower-quartile A,-5.526540294842795,-0.8486590245414765,SNR>=0.5,116685.0,,,
8,lower-quartile A,-5.526540294842795,-0.8486590245414765,SNR>=1.0,466738.0,,,
8,lower-quartile A,-5.526540294842795,-0.8486590245414765,SNR>=2.0,1866951.0,,,
8,lower-quartile A,-5.526540294842795,-0.8486590245414765,SNR>=5.0,11668439.0,,,
8,typical A,-3.933107788330973,-0.7907029468374737,P_nonzero>=0.5,6382.0,5942.0082352936415,0.9310573856618053,0.03102355048138006
8,typical A,-3.933107788330973,-0.7907029468374737,P_nonzero>=0.9,25933.0,19738.924096874027,0.7611508154426417,0.11852928301243036
8,typical A,-3.933107788330973,-0.7907029468374737,P_nonzero>=0.95,36678.0,25680.932332167657,0.7001726466047128,0.1547948596673533
8,typical A,-3.933107788330973,-0.7907029468374737,P_nonzero>=0.99,65168.0,39477.84819374805,0.6057857874071331,0.21768092004750492
8,typical A,-3.933107788330973,-0.7907029468374737,SNR>=0.5,3428.0,,,
8,typical A,-3.933107788330973,-0.7907029468374737,SNR>=1.0,13711.0,,,
8,typical A,-3.933107788330973,-0.7907029468374737,SNR>=2.0,54841.0,,,
8,typical A,-3.933107788330973,-0.7907029468374737,SNR>=5.0,342752.0,,,
8,upper-quartile A,-2.7190025001848523,0.9801355833087546,P_nonzero>=0.5,366.0,362.93425572535114,0.9916236495228173,0.0036531241644199896
8,upper-quartile A,-2.7190025001848523,0.9801355833087546,P_nonzero>=0.9,1233.0,1205.6415006910786,0.9778114360835999,0.009744887711416112
8,upper-quartile A,-2.7190025001848523,0.9801355833087546,P_nonzero>=0.95,1616.0,1568.5757564164292,0.970653314614127,0.012935858078617616
8,upper-quartile A,-2.7190025001848523,0.9801355833087546,P_nonzero>=0.99,2523.0,2411.2830013821567,0.9557205712969309,0.019669065969278008
8,upper-quartile A,-2.7190025001848523,0.9801355833087546,SNR>=0.5,137.0,,,
8,upper-quartile A,-2.7190025001848523,0.9801355833087546,SNR>=1.0,545.0,,,
8,upper-quartile A,-2.7190025001848523,0.9801355833087546,SNR>=2.0,2177.0,,,
8,upper-quartile A,-2.7190025001848523,0.9801355833087546,SNR>=5.0,13601.0,,,
10,lower-quartile A,-7.000077692018696,-0.6297022313951802,P_nonzero>=0.5,7839003.0,6932711.904728084,0.8843869436876199,0.053357677588434516
10,lower-quartile A,-7.000077692018696,-0.6297022313951802,P_nonzero>=0.9,39331461.0,23029970.450076304,0.5855355957938176,0.2324466982228186
10,lower-quartile A,-7.000077692018696,-0.6297022313951802,P_nonzero>=0.95,59978044.0,29962682.354804374,0.4995608452120308,0.3014116082777635
10,lower-quartile A,-7.000077692018696,-0.6297022313951802,P_nonzero>=0.99,116508518.0,46059940.9001526,0.3953353942769455,0.40303430164224857
10,lower-quartile A,-7.000077692018696,-0.6297022313951802,SNR>=0.5,6305902.0,,,
10,lower-quartile A,-7.000077692018696,-0.6297022313951802,SNR>=1.0,25223608.0,,,
10,lower-quartile A,-7.000077692018696,-0.6297022313951802,SNR>=2.0,100894430.0,,,
10,lower-quartile A,-7.000077692018696,-0.6297022313951802,SNR>=5.0,630590184.0,,,
10,typical A,-5.08599301449222,-0.11609788097040777,P_nonzero>=0.5,106407.0,84492.56131203244,0.7940507796670562,0.10015172348723185
10,typical A,-5.08599301449222,-0.11609788097040777,P_nonzero>=0.9,1656880.0,280678.21323143365,0.16940165445381297,0.7710823524666293
10,typical A,-5.08599301449222,-0.11609788097040777,P_nonzero>=0.95,4679684.0,365170.77454346593,0.07803321218771736,1.1077205152594332
