n,label,log10A,s,shots,p_zero_exact,p_both_zero,p_zero_rare_event,p_zero_poisson
4,typical A,-1.4742643474882855,-0.9850696239987332,929.0,7.007488472437428e-13,1.7129517570796288e-14,2.9012624989868175e-14,1.0978745601072533e-12
4,typical A,-1.4742643474882855,-0.9850696239987332,1117.0,3.138152944694992e-15,2.80474750216241e-17,5.285011908316253e-17,5.376428400035497e-15
4,typical A,-1.4742643474882855,-0.9850696239987332,1344.0,4.672105267097343e-18,1.213742149766308e-20,2.6013325035222726e-20,8.917588677697915e-18
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,1.0,0.8578352947095188,0.852404856257107,0.8581077692500522,0.8627740008219615
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,2.0,0.7451392570662493,0.7265940389706993,0.7363489436473007,0.7524308027652523
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,3.0,0.6550901995427976,0.6193522873460898,0.6318667494228176,0.6631279553113948
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,4.0,0.5825261265050895,0.5279388974677541,0.5422097668104957,0.5903540215820847
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,5.0,0.5235292755339431,0.4500176800085365,0.4652744134633454,0.5306170030329231
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,6.0,0.4751165975225129,0.3835972558408334,0.3992555890261578,0.4812070045432696
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,7.0,0.4350088092051222,0.3269801637256262,0.3426043228598519,0.4400152279088405
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,8.0,0.401457789386171,0.2787194794594678,0.2939914312246922,0.4053957437050903
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,10.0,0.3489463139160521,0.2025159123202655,0.2164802798236601,0.3509947810157493
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,11.0,0.3281356337632066,0.1726255471311328,0.1857634100061081,0.3294022677111736
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,13.0,0.2942040582916171,0.1254286935195366,0.1367866907263181,0.2942359851587175
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,16.0,0.256521610041061,0.0776845482301566,0.0864309616335429,0.2553898157667992
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,18.0,0.2372152158991855,0.0564451296641636,0.0636433472972796,0.2356430753428685
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,21.0,0.2139609285584157,0.0349594201670463,0.0402141149791195,0.2120528843502549
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,25.0,0.1900583933987434,0.0184564377391024,0.0218044859053189,0.1880576093932088
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,29.0,0.1714287867963798,0.0097438713911639,0.0118226052181457,0.1695346035484291
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,33.0,0.1563263944693542,0.0051441687193187,0.0064103320184233,0.1546231409452182
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,39.0,0.1381631854258026,0.0019732890043129,0.0025593608858688,0.1367945932651277
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,45.0,0.1237065926955074,0.0007569482470353,0.001021839138018,0.122670775195646
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,53.0,0.1083140974311767,0.0002109762213914,0.0003004119506673,0.107681444039248
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,62.0,0.0946226547796968,5.012411841549022e-05,7.578682477105815e-05,0.0943775746293396
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,72.0,0.0824878361513817,1.0150931570162029e-05,1.6406353033385357e-05,0.0825974244206221
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,83.0,0.0717536655340431,1.752310116189909e-06,3.047700085245722e-06,0.0721755256975976
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,97.0,0.0608690500506705,1.8735003651858485e-07,3.577320934741375e-07,0.061594174001442
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,113.0,0.0510989046221751,1.4554202947849645e-08,3.091912884615018e-08,0.0520716051148646
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,132.0,0.0420650518581085,7.002624144441384e-10,1.688581769825769e-09,0.0432309852628764
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,154.0,0.0340247165079963,2.0867525505721968e-11,5.826965485013527e-11,0.035317562968953
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,179.0,0.0270743728124206,3.851401852654891e-13,1.2705398678875688e-12,0.0284257871624801
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,209.0,0.0208496846462537,3.198867807665407e-15,1.2889715123074216e-14,0.0221944019110249
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,243.0,0.0157027192382339,1.4026761506341178e-17,7.090317404394996e-17,0.0169801241170681
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,283.0,0.0113917053003612,2.3593589775419704e-20,1.557180798069459e-19,0.0125490064835658
4,upper-quartile A,-0.8152359595253784,0.2690484029343715,330.0,0.0079135449445158,1.2976334799285453e-23,1.171669812389587e-22,0.0089100636501845
