k,layer,qubit,rot,shots,replicate,g_hat,g_exact,xi
2,0,1,0,128,0,-0.09375,-0.18740256624278084,0.09365256624278084
2,0,1,0,128,1,-0.3203125,-0.18740256624278084,-0.13290993375721916
2,0,1,0,128,2,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,128,3,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,128,4,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,128,5,-0.2109375,-0.18740256624278084,-0.023534933757219156
2,0,1,0,128,6,-0.140625,-0.18740256624278084,0.046777566242780844
2,0,1,0,128,7,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,128,8,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,128,9,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,128,10,-0.0703125,-0.18740256624278084,0.11709006624278084
2,0,1,0,128,11,-0.1640625,-0.18740256624278084,0.023340066242780844
2,0,1,0,128,12,-0.1796875,-0.18740256624278084,0.007715066242780844
2,0,1,0,128,13,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,128,14,-0.1640625,-0.18740256624278084,0.023340066242780844
2,0,1,0,128,15,-0.265625,-0.18740256624278084,-0.07822243375721916
2,0,1,0,128,16,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,128,17,-0.078125,-0.18740256624278084,0.10927756624278084
2,0,1,0,128,18,-0.2421875,-0.18740256624278084,-0.054784933757219156
2,0,1,0,128,19,-0.078125,-0.18740256624278084,0.10927756624278084
2,0,1,0,128,20,-0.1015625,-0.18740256624278084,0.08584006624278084
2,0,1,0,128,21,-0.2109375,-0.18740256624278084,-0.023534933757219156
2,0,1,0,128,22,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,128,23,-0.1328125,-0.18740256624278084,0.054590066242780844
2,0,1,0,128,24,-0.2109375,-0.18740256624278084,-0.023534933757219156
2,0,1,0,128,25,-0.25,-0.18740256624278084,-0.06259743375721916
2,0,1,0,128,26,-0.2421875,-0.18740256624278084,-0.054784933757219156
2,0,1,0,128,27,-0.2265625,-0.18740256624278084,-0.039159933757219156
2,0,1,0,128,28,-0.2890625,-0.18740256624278084,-0.10165993375721916
2,0,1,0,128,29,-0.1875,-0.18740256624278084,-9.743375721915637e-05
2,0,1,0,128,30,-0.2265625,-0.18740256624278084,-0.039159933757219156
2,0,1,0,128,31,-0.1640625,-0.18740256624278084,0.023340066242780844
2,0,1,0,128,32,-0.2421875,-0.18740256624278084,-0.054784933757219156
2,0,1,0,128,33,-0.1171875,-0.18740256624278084,0.07021506624278084
2,0,1,0,128,34,-0.125,-0.18740256624278084,0.062402566242780844
2,0,1,0,128,35,-0.265625,-0.18740256624278084,-0.07822243375721916
2,0,1,0,128,36,-0.28125,-0.18740256624278084,-0.09384743375721916
2,0,1,0,128,37,-0.1640625,-0.18740256624278084,0.023340066242780844
2,0,1,0,128,38,-0.15625,-0.18740256624278084,0.031152566242780844
2,0,1,0,128,39,-0.3359375,-0.18740256624278084,-0.14853493375721916
2,0,1,0,128,40,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,128,41,-0.1328125,-0.18740256624278084,0.054590066242780844
2,0,1,0,128,42,-0.1484375,-0.18740256624278084,0.038965066242780844
2,0,1,0,128,43,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,128,44,-0.015625,-0.18740256624278084,0.17177756624278084
2,0,1,0,128,45,-0.2109375,-0.18740256624278084,-0.023534933757219156
2,0,1,0,128,46,-0.1953125,-0.18740256624278084,-0.007909933757219156
2,0,1,0,128,47,-0.2109375,-0.18740256624278084,-0.023534933757219156
2,0,1,0,128,48,-0.203125,-0.18740256624278084,-0.015722433757219156
2,0,1,0,128,49,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,128,50,-0.21875,-0.18740256624278084,-0.031347433757219156
2,0,1,0,128,51,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,128,52,-0.0859375,-0.18740256624278084,0.10146506624278084
2,0,1,0,128,53,-0.1953125,-0.18740256624278084,-0.007909933757219156
2,0,1,0,128,54,-0.234375,-0.18740256624278084,-0.046972433757219156
2,0,1,0,128,55,-0.1796875,-0.18740256624278084,0.007715066242780844
2,0,1,0,128,56,-0.171875,-0.18740256624278084,0.015527566242780844
2,0,1,0,128,57,-0.0859375,-0.18740256624278084,0.10146506624278084
